"2270012","“Zuong”","Sun, 5 Nov 2023 22:10:23 +0700","update new commit history",	 2 files changed, 664 insertions(+), 469 deletions(-)	
"413abfe","Carl-Johnsons","Sun, 5 Nov 2023 21:57:39 +0700","fix routing voucher",	 9 files changed, 1289 insertions(+), 36 deletions(-)	
"634d5e7","“Zuong”","Sun, 5 Nov 2023 20:38:44 +0700","update styles for info.jsp",	 1 file changed, 92 insertions(+), 81 deletions(-)	
"326adfd","phenchua29","Sun, 5 Nov 2023 19:21:10 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9fcf7ea","phenchua29","Sun, 5 Nov 2023 18:17:54 +0700","Update diagram",	 8 files changed, 283 insertions(+)	
"83b541e","Carl-Johnsons","Sun, 5 Nov 2023 16:10:07 +0700","fix screen flow",	 32 files changed, 1562 insertions(+), 1262 deletions(-)	
"cdd979b","lebathinh2003","Sun, 5 Nov 2023 15:56:50 +0700","add alert confirm when import or update import",	 3 files changed, 161 insertions(+), 12 deletions(-)	
"8e1b9f1","phenchua29","Sun, 5 Nov 2023 14:46:40 +0700","Accept reject order diagrams",	 6 files changed, 612 insertions(+), 19 deletions(-)	
"a3af486","lebathinh2003","Sun, 5 Nov 2023 14:11:07 +0700","fix navbar ivtr manager",	 2 files changed, 81 insertions(+), 5 deletions(-)	
"5b07301","lebathinh2003","Sun, 5 Nov 2023 13:44:25 +0700","fix so am",	 2 files changed, 17 insertions(+), 16 deletions(-)	
"7f55ad1","“Zuong”","Sun, 5 Nov 2023 13:42:36 +0700","fix negative number in list import product",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"46ec9f5","“Zuong”","Sun, 5 Nov 2023 13:42:15 +0700","update width for input field quantity import cart",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"c3b4c99","“Zuong”","Sun, 5 Nov 2023 13:22:28 +0700","fix bug order detail of order manager",	 2 files changed, 4 insertions(+), 2 deletions(-)	
"65bf1f9","phenchua29","Sun, 5 Nov 2023 13:09:31 +0700","Update diagrams",	 28 files changed, 1658 insertions(+), 414 deletions(-)	
"2c71677","Carl-Johnsons","Sun, 5 Nov 2023 12:54:10 +0700","done accept reject order",	 14 files changed, 1094 insertions(+)	
"3e53bb6","Carl-Johnsons","Sun, 5 Nov 2023 12:53:28 +0700","done accept/reject Order",	 1 file changed, 4 deletions(-)	
"d60f1b5","phenchua29","Sun, 5 Nov 2023 00:16:37 +0700","Add customer view order detail diagrams",	 2 files changed, 220 insertions(+)	
"6c8a712","lebathinh2003","Sun, 5 Nov 2023 00:04:43 +0700","fix sequence diagram",	 5 files changed, 431 insertions(+), 433 deletions(-)	
"df69f6d","Carl-Johnsons","Sat, 4 Nov 2023 22:56:53 +0700","done ban employee",	 4 files changed, 196 insertions(+), 2 deletions(-)	
"4dc70de","phenchua29","Sat, 4 Nov 2023 22:54:14 +0700","Render new svg",	 3 files changed, 275 insertions(+), 275 deletions(-)	
"115ad12","phenchua29","Sat, 4 Nov 2023 22:52:21 +0700","Fix actor",	 3 files changed, 10 insertions(+), 10 deletions(-)	
"b532452","phenchua29","Sat, 4 Nov 2023 22:45:54 +0700","Add sudo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"82072e9","phenchua29","Sat, 4 Nov 2023 22:39:20 +0700","Add logs",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9df4f47","phenchua29","Sat, 4 Nov 2023 22:35:46 +0700","Remove sudo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"bfdca52","phenchua29","Sat, 4 Nov 2023 22:33:49 +0700","Update script",	 1 file changed, 1 insertion(+)	
"f8465f0","phenchua29","Sat, 4 Nov 2023 22:32:59 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ae09362","phenchua29","Sat, 4 Nov 2023 22:30:28 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"1dc2902","lebathinh2003","Sat, 4 Nov 2023 22:29:50 +0700","update login, import, checkout",	 3 files changed, 259 insertions(+), 204 deletions(-)	
"c396105","Carl-Johnsons","Sat, 4 Nov 2023 22:28:55 +0700","fix numbering sequence diagram",	 73 files changed, 999 insertions(+), 5958 deletions(-)	
"939735e","phenchua29","Sat, 4 Nov 2023 22:10:01 +0700","Update new script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"634ebc5","phenchua29","Sat, 4 Nov 2023 22:09:29 +0700","Update new script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"b653410","phenchua29","Sat, 4 Nov 2023 21:28:35 +0700","Add update delivery address diagrams",	 6 files changed, 683 insertions(+)	
"96006a9","phenchua29","Sat, 4 Nov 2023 21:27:50 +0700","Delete unused diagrams",	 4 files changed, 235 deletions(-)	
"47a009b","phenchua29","Sat, 4 Nov 2023 21:27:36 +0700","Update new method's variable name",	 1 file changed, 23 insertions(+), 23 deletions(-)	
"7d12fe6","Carl-Johnsons","Sat, 4 Nov 2023 18:39:14 +0700","done delete delivery address",	 13 files changed, 628 insertions(+), 256 deletions(-)	
"a6df0ba","lebathinh2003","Sat, 4 Nov 2023 17:18:13 +0700","update login sequence diagram",	 1 file changed, 24 insertions(+), 24 deletions(-)	
"273d7f0","lebathinh2003","Sat, 4 Nov 2023 17:10:28 +0700","add display statistic sds",	 4 files changed, 230 insertions(+)	
"ad91988","Carl-Johnsons","Sat, 4 Nov 2023 17:09:10 +0700","done addDelivery Address SDS doc",	 10 files changed, 504 insertions(+), 6 deletions(-)	
"ac6624e","lebathinh2003","Sat, 4 Nov 2023 16:32:26 +0700","add checkout, import, bring to stock sds",	 25 files changed, 2744 insertions(+), 10 deletions(-)	
"913288d","Carl-Johnsons","Sat, 4 Nov 2023 14:18:10 +0700","add update brand fucntion in document",	 71 files changed, 331 insertions(+)	
"4be3965","phenchua29","Sat, 4 Nov 2023 14:00:04 +0700","Capitalize words",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"b0930f5","phenchua29","Sat, 4 Nov 2023 13:51:59 +0700","Update sorting user's order history",	 2 files changed, 1 insertion(+), 2 deletions(-)	
